685.89, 3891.25, 56.99
1503.65, 1864.14, 54.25
930.11, 4390.41, 67.67
4412.18, 715.14, 39.75
3587.57, 751.30, 23.41
2786.47, 1004.17, 46.35
1625.87, 1568.13, 60.41
1234.50, 2025.27, 47.49
3750.97, 687.35, 44.41
1270.37, 2000.40, 41.38
2355.57, 1254.64, 30.16
2277.45, 1330.03, 50.92
1979.12, 1356.36, 62.12
1186.81, 2382.33, 61.00
1612.63, 1535.28, 49.21
4010.41, 797.58, 41.54
4016.02, 827.94, 34.41
742.01, 3797.42, 51.45
3240.59, 782.02, 39.53
3319.88, 776.92, 49.94
4147.63, 828.90, 35.57
2375.27, 1156.75, 59.02
1192.33, 2295.78, 61.11
1066.25, 2578.49, 67.01
1125.86, 2450.85, 64.80
1655.78, 1473.91, 61.49
830.75, 3164.16, 73.99
880.64, 3391.51, 51.42
3572.56, 770.58, 24.60
3952.76, 761.68, 22.50
1447.07, 1910.93, 61.13
3587.41, 769.22, 42.57
2690.14, 965.69, 40.76
4540.87, 761.12, 24.79
2510.94, 936.67, 57.95
2338.96, 1270.36, 58.81
2091.31, 1349.90, 41.91
2280.55, 1355.70, 40.22
3799.23, 676.23, 45.40
1156.96, 2157.67, 40.23
2856.55, 950.97, 39.38
1345.95, 1953.84, 39.85
2404.01, 1107.84, 45.38
1420.69, 1920.63, 64.60
1090.91, 2710.02, 71.63
3331.43, 777.49, 48.06
1147.17, 2143.47, 56.60
840.66, 3371.28, 62.85
1336.57, 1950.46, 46.07
2185.96, 1377.76, 55.02
2359.04, 1228.77, 59.57
1431.90, 1916.08, 64.00
1074.78, 2735.04, 53.43
2489.75, 950.58, 36.44
3762.89, 679.16, 22.35
2894.53, 927.45, 46.51
2627.85, 970.51, 30.77
729.00, 3802.68, 66.19
755.33, 3769.27, 57.85
4424.93, 721.05, 31.94
1144.95, 2453.63, 41.91
4025.81, 828.89, 23.33
2329.62, 1280.81, 32.92
2887.75, 931.11, 37.79
2936.22, 890.76, 41.72
1834.11, 1375.48, 38.29
3484.28, 807.95, 43.52
884.24, 3600.98, 76.25
951.18, 3015.99, 70.51
2316.10, 1299.90, 56.98
817.03, 3228.76, 71.97
4003.28, 798.02, 44.07
3301.84, 766.02, 36.69
3850.71, 662.80, 47.00
1168.69, 2141.78, 40.70
2662.42, 985.27, 34.49
1506.84, 1822.34, 64.79
4419.21, 699.05, 44.66
2736.95, 995.57, 55.74
2857.60, 964.55, 54.12
3404.69, 805.61, 23.22
